Date,Event,Actual,Forecast,Previous
jan03.2007,US ISM Manufacturing PMI,51.4,51.0,49.5
jan04.2007,US Factory Orders m/m,0.9%,1.5%,-4.5%
jan04.2007,US ISM Services PMI,57.1,58.0,58.9
jan04.2007,US Crude Oil Inventories,-1.3M,-2.0M,-8.1M
jan04.2007,US Distillate Inventories,2.0M,0.9M,0.5M
jan04.2007,US Gasoline Inventories,5.7M,1.5M,2.9M
jan05.2007,EZ Consumer Confidence,-6,-7,-7
jan05.2007,CA Employment Change,62.0K,17.0K,22.0K
jan05.2007,CA Unemployment Rate,6.1%,6.3%,6.3%
jan05.2007,US Average Hourly Earnings m/m,0.5%,0.3%,0.3%
jan05.2007,US Non-Farm Employment Change,167K,115K,132K
jan05.2007,US Unemployment Rate,4.5%,4.5%,4.5%
jan05.2007,US Natural Gas Storage,-47B,-60B,-46B
jan10.2007,US Trade Balance,-58.2B,-60.0B,-58.9B
jan10.2007,US Crude Oil Inventories,-5.0M,-1.5M,-1.3M
jan10.2007,US Distillate Inventories,5.4M,2.0M,2.0M
jan10.2007,US Gasoline Inventories,3.8M,2.5M,5.7M
jan11.2007,US Natural Gas Storage,-49B,-45B,-47B
jan12.2007,US Retail Sales m/m,0.9%,0.6%,1.0%
jan17.2007,US Capacity Utilization Rate,81.8%,81.8%,81.6%
jan17.2007,US Industrial Production m/m,0.4%,0.1%,-0.1%
jan18.2007,US Core CPI m/m,0.2%,0.2%,0.0%
jan18.2007,US CPI m/m,0.5%,0.5%,0.0%
jan18.2007,US Crude Oil Inventories,6.8M,0.1M,-5.0M
jan18.2007,US Distillate Inventories,0.9M,1.4M,5.4M
jan18.2007,US Gasoline Inventories,3.5M,2.5M,3.8M
jan18.2007,US Natural Gas Storage,-89B,-79B,-49B
jan24.2007,US Crude Oil Inventories,0.7M,1.3M,6.8M
jan24.2007,US Distillate Inventories,0.8M,-0.3M,0.9M
jan24.2007,US Gasoline Inventories,4.0M,1.5M,3.5M
jan25.2007,US Natural Gas Storage,-179B,-174B,-89B
jan31.2007,EZ Consumer Confidence,-7,-6,-6
jan31.2007,US Advance GDP q/q,3.5%,3.0%,2.0%
jan31.2007,US Crude Oil Inventories,2.7M,1.4M,0.7M
jan31.2007,US Distillate Inventories,-2.6M,-2.1M,0.8M
jan31.2007,US Gasoline Inventories,3.8M,1.8M,4.0M
feb01.2007,US ISM Manufacturing PMI,49.3,51.6,51.4
feb01.2007,US Natural Gas Storage,-186B,-201B,-179B
feb02.2007,US Average Hourly Earnings m/m,0.2%,0.4%,0.4%
feb02.2007,US Non-Farm Employment Change,111K,146K,206K
feb02.2007,US Unemployment Rate,4.6%,4.5%,4.5%
feb02.2007,US Factory Orders m/m,2.4%,1.6%,1.2%
feb05.2007,US ISM Services PMI,59.0,56.8,57.1
feb07.2007,US Crude Oil Inventories,-0.4M,2.0M,2.7M
feb07.2007,US Distillate Inventories,-3.6M,-3.0M,-2.6M
feb07.2007,US Gasoline Inventories,2.6M,1.6M,3.8M
feb08.2007,US Natural Gas Storage,-224B,-219B,-186B
feb09.2007,CA Employment Change,89.0K,25.0K,62.0K
feb09.2007,CA Unemployment Rate,6.2%,6.1%,6.1%
feb13.2007,US Trade Balance,-61.2B,-59.5B,-58.1B
feb14.2007,US Retail Sales m/m,0.0%,0.3%,1.2%
feb14.2007,US Crude Oil Inventories,-0.6M,1.0M,-0.4M
feb14.2007,US Distillate Inventories,-3.0M,-4.0M,-3.6M
feb14.2007,US Gasoline Inventories,-2.1M,2.0M,2.6M
feb15.2007,US Capacity Utilization Rate,81.2%,81.8%,81.8%
feb15.2007,US Industrial Production m/m,-0.5%,0.0%,0.5%
feb15.2007,US Natural Gas Storage,-259B,-254B,-224B
feb21.2007,US Core CPI m/m,0.3%,0.2%,0.2%
feb21.2007,US CPI m/m,0.2%,0.2%,0.5%
feb22.2007,US Crude Oil Inventories,3.7M,1.0M,-0.6M
feb22.2007,US Distillate Inventories,-5.0M,-2.8M,-3.0M
feb22.2007,US Gasoline Inventories,-3.0M,0.0M,-2.1M
feb22.2007,US Natural Gas Storage,-223B,-225B,-259B
feb28.2007,EZ Consumer Confidence,-5,-6,-7
feb28.2007,US Crude Oil Inventories,1.4M,2.1M,3.7M
feb28.2007,US Distillate Inventories,-3.8M,-2.6M,-5.0M
feb28.2007,US Gasoline Inventories,-1.9M,-1.5M,-3.0M
mar01.2007,US Natural Gas Storage,-132B,-142B,-223B
mar01.2007,US ISM Manufacturing PMI,52.3,50.0,49.3
mar05.2007,US ISM Services PMI,54.3,57.2,59.0
mar06.2007,US Factory Orders m/m,-5.6%,-4.3%,2.6%
mar07.2007,US Crude Oil Inventories,-4.8M,1.8M,1.4M
mar07.2007,US Distillate Inventories,-1.3M,-2.8M,-3.8M
mar07.2007,US Gasoline Inventories,-3.8M,-1.5M,-1.9M
mar08.2007,US Natural Gas Storage,-102B,-100B,-132B
mar09.2007,CA Employment Change,14.0K,8.0K,89.0K
mar09.2007,CA Unemployment Rate,6.1%,6.2%,6.2%
mar09.2007,US Average Hourly Earnings m/m,0.4%,0.3%,0.2%
mar09.2007,US Non-Farm Employment Change,97K,100K,146K
mar09.2007,US Trade Balance,-59.1B,-59.5B,-61.5B
mar09.2007,US Unemployment Rate,4.5%,4.6%,4.6%
mar13.2007,US Retail Sales m/m,0.1%,0.3%,0.0%
mar14.2007,US Crude Oil Inventories,1.1M,2.0M,-4.8M
mar14.2007,US Distillate Inventories,-2.7M,-2.1M,-1.3M
mar14.2007,US Gasoline Inventories,-2.5M,-2.4M,-3.8M
mar15.2007,US Natural Gas Storage,-115B,-118B,-102B
mar16.2007,US Core CPI m/m,0.2%,0.2%,0.3%
mar16.2007,US CPI m/m,0.4%,0.3%,0.2%
mar16.2007,US Capacity Utilization Rate,82.0%,81.3%,81.4%
mar16.2007,US Industrial Production m/m,1.0%,0.3%,-0.3%
mar21.2007,US Crude Oil Inventories,3.9M,1.0M,1.1M
mar21.2007,US Distillate Inventories,-1.7M,-1.5M,-2.7M
mar21.2007,US Gasoline Inventories,-3.5M,-2.0M,-2.5M
mar22.2007,US Natural Gas Storage,17B,-1B,-115B
mar28.2007,US Crude Oil Inventories,-0.8M,2.1M,3.9M
mar28.2007,US Distillate Inventories,-0.7M,-1.6M,-1.7M
mar28.2007,US Gasoline Inventories,-0.3M,-2.1M,-3.5M
mar29.2007,US Natural Gas Storage,-22B,-18B,17B
mar30.2007,EZ Consumer Confidence,-4,-5,-5
apr02.2007,US ISM Manufacturing PMI,50.9,51.3,52.3
apr04.2007,US Factory Orders m/m,1.0%,1.9%,-5.7%
apr04.2007,US ISM Services PMI,52.4,54.8,54.3
apr04.2007,US Crude Oil Inventories,4.3M,0.5M,-0.8M
apr04.2007,US Distillate Inventories,-0.1M,-1.0M,-0.7M
apr04.2007,US Gasoline Inventories,5.0M,-0.2M,-0.3M
apr05.2007,CA Employment Change,54.9K,12.0K,14.2K
apr05.2007,CA Unemployment Rate,6.1%,6.1%,6.1%
apr05.2007,US Natural Gas Storage,58B,54B,-22B
apr06.2007,US Average Hourly Earnings m/m,0.3%,0.3%,0.4%
apr06.2007,US Non-Farm Employment Change,180K,135K,113K
apr06.2007,US Unemployment Rate,4.4%,4.6%,4.5%
apr11.2007,US Crude Oil Inventories,0.7M,1.7M,4.3M
apr11.2007,US Distillate Inventories,0.2M,-0.9M,-0.1M
apr11.2007,US Gasoline Inventories,-5.5M,-1.4M,5.0M
apr12.2007,US Natural Gas Storage,23B,18B,58B
apr13.2007,US Trade Balance,-58.4B,-60.2B,-58.9B
